FalsePositiveRate,TruePositiveRate
0,0.60625
0.00350877192982456,0.65625
0.00701754385964912,0.6625
0.0105263157894737,0.7625
0.0140350877192982,0.80625
0.0175438596491228,0.825
0.0210526315789474,0.825
0.0245614035087719,0.83125
0.0280701754385965,0.83125
0.0315789473684211,0.83125
0.0350877192982456,0.8375
0.0385964912280702,0.8625
0.0421052631578947,0.86875
0.0456140350877193,0.86875
0.0491228070175439,0.86875
0.0526315789473684,0.86875
0.056140350877193,0.86875
0.0596491228070175,0.86875
0.0631578947368421,0.86875
0.0701754385964912,0.875
0.0736842105263158,0.88125
0.0771929824561404,0.8875
0.0807017543859649,0.8875
0.0842105263157895,0.89375
0.087719298245614,0.9
0.0912280701754386,0.90625
0.0947368421052632,0.90625
0.0982456140350877,0.90625
0.101754385964912,0.90625
0.105263157894737,0.90625
0.108771929824561,0.90625
0.112280701754386,0.9125
0.115789473684211,0.9125
0.119298245614035,0.9125
0.12280701754386,0.9125
0.126315789473684,0.9125
0.133333333333333,0.9125
0.136842105263158,0.9125
0.140350877192982,0.9125
0.147368421052632,0.9125
0.154385964912281,0.9125
0.157894736842105,0.91875
0.16140350877193,0.91875
0.164912280701754,0.91875
0.168421052631579,0.91875
0.171929824561404,0.925
0.178947368421053,0.925
0.182456140350877,0.925
0.185964912280702,0.925
0.189473684210526,0.925
0.196491228070175,0.925
0.2,0.925
0.207017543859649,0.925
0.210526315789474,0.925
0.214035087719298,0.925
0.221052631578947,0.925
0.224561403508772,0.925
0.228070175438596,0.925
0.231578947368421,0.925
0.235087719298246,0.925
0.242105263157895,0.925
0.245614035087719,0.925
0.249122807017544,0.925
0.256140350877193,0.925
0.259649122807018,0.93125
0.266666666666667,0.93125
0.273684210526316,0.93125
0.27719298245614,0.93125
0.284210526315789,0.93125
0.287719298245614,0.94375
0.294736842105263,0.94375
0.301754385964912,0.94375
0.312280701754386,0.94375
0.315789473684211,0.94375
0.319298245614035,0.94375
0.326315789473684,0.94375
0.333333333333333,0.94375
0.336842105263158,0.94375
0.340350877192982,0.94375
0.343859649122807,0.94375
0.350877192982456,0.94375
0.354385964912281,0.94375
0.357894736842105,0.94375
0.36140350877193,0.95
0.368421052631579,0.95
0.371929824561403,0.95
0.378947368421053,0.95
0.392982456140351,0.95
0.4,0.95
0.403508771929825,0.95625
0.407017543859649,0.95625
0.414035087719298,0.9625
0.428070175438596,0.9625
0.431578947368421,0.9625
0.435087719298246,0.9625
0.445614035087719,0.96875
0.456140350877193,0.96875
0.470175438596491,0.96875
0.480701754385965,0.96875
0.498245614035088,0.96875
0.515789473684211,0.96875
0.533333333333333,0.96875
0.536842105263158,0.96875
0.540350877192982,0.96875
0.550877192982456,0.96875
0.564912280701754,0.96875
0.568421052631579,0.96875
0.582456140350877,0.96875
0.589473684210526,0.96875
0.6,0.96875
0.607017543859649,0.96875
0.614035087719298,0.975
0.624561403508772,0.975
0.628070175438596,0.975
0.645614035087719,0.975
0.670175438596491,0.975
0.680701754385965,0.975
0.691228070175439,0.975
0.701754385964912,0.975
0.708771929824561,0.975
0.733333333333333,0.975
0.76140350877193,0.975
0.778947368421053,0.975
0.792982456140351,0.975
0.807017543859649,0.975
0.821052631578947,0.975
0.824561403508772,0.98125
0.845614035087719,0.98125
0.856140350877193,0.98125
0.870175438596491,0.98125
0.873684210526316,0.98125
0.884210526315789,0.98125
0.887719298245614,0.9875
0.91578947368421,0.9875
0.92280701754386,0.99375
0.943859649122807,0.99375
0.957894736842105,0.99375
0.964912280701754,0.99375
0.971929824561404,0.99375
0.978947368421053,1
0.985964912280702,1
0.996491228070175,1
1,1
